date,equity
2008-08-04,2000000.0
2008-08-11,2000030.08
2008-08-18,1999558.67
2008-08-25,2002353.49
2008-09-01,2001248.0
2008-09-08,1994829.64
2008-09-15,1994048.58
2008-09-22,1998280.43
2008-09-29,1980059.48
2008-10-06,1981250.34
2008-10-13,1977272.91
2008-10-20,1977044.59
2008-10-27,1977044.59
2008-11-03,1977044.59
2008-11-10,1976946.0
2008-11-17,1976946.0
2008-11-24,1976946.0
2008-12-01,1976946.0
2008-12-08,1976946.0
2008-12-15,1976155.97
2008-12-22,1974489.51
2008-12-29,1973270.46
2009-01-05,1971260.62
2009-01-12,1970645.97
2009-01-19,1972927.79
2009-01-26,1972766.45
2009-02-02,1972559.0
2009-02-09,1970388.06
2009-02-16,1972172.77
2009-02-23,1964825.86
2009-03-02,1965958.81
2009-03-09,1969552.31
2009-03-16,1973317.15
2009-03-23,1970102.79
2009-03-30,1975012.37
2009-04-06,1975569.25
2009-04-13,1974330.47
2009-04-20,1975787.34
2009-04-27,1977325.67
2009-05-04,1969568.2
2009-05-11,2026909.25
2009-05-18,2091749.41
2009-05-25,2185072.48
2009-06-01,2131190.6
2009-06-08,2049352.66
2009-06-15,2104385.43
2009-06-22,2129238.67
2009-06-29,2016729.73
2009-07-06,2094477.59
2009-07-13,2180320.3
2009-07-20,2259783.53
2009-07-27,2202500.43
2009-08-03,2223148.03
2009-08-10,2201584.42
2009-08-17,2283725.04
2009-08-24,2293387.72
2009-08-31,2325793.07
2009-09-07,2431794.79
2009-09-14,2470192.74
2009-09-21,2516484.13
2009-09-28,2490209.06
2009-10-05,2609801.04
2009-10-12,2610470.39
2009-10-19,2493003.44
2009-10-26,2551510.19
2009-11-02,2612383.83
2009-11-09,2627832.93
2009-11-16,2603523.31
2009-11-23,2718002.43
2009-11-30,2716458.17
2009-12-07,2696615.62
2009-12-14,2748968.34
2009-12-21,2786805.99
2009-12-28,2877112.56
2010-01-04,2962028.3
2010-01-11,2857418.96
2010-01-18,2746179.11
2010-01-25,2703188.1
2010-02-01,2753901.06
2010-02-08,2724585.26
2010-02-15,2696748.93
2010-02-22,2757561.55
2010-03-01,2784022.28
2010-03-08,2792638.47
2010-03-15,2807966.61
2010-03-22,2811973.17
2010-03-29,2881775.22
2010-04-05,2880558.46
2010-04-12,2907123.03
2010-04-19,2916994.73
2010-04-26,2826194.03
2010-05-03,2866419.01
2010-05-10,2789826.11
2010-05-17,2809702.45
2010-05-24,2875627.31
2010-05-31,2891967.49
2010-06-07,2955368.88
2010-06-14,3033135.16
2010-06-21,3065097.64
2010-06-28,3144290.33
2010-07-05,3185050.25
2010-07-12,3210903.34
2010-07-19,3221388.84
2010-07-26,3255769.09
2010-08-02,3265064.06
2010-08-09,3326898.35
2010-08-16,3251827.78
2010-08-23,3348338.65
2010-08-30,3426745.83
2010-09-06,3493903.78
2010-09-13,3475731.42
2010-09-20,3545482.94
2010-09-27,3577641.81
2010-10-04,3568996.09
2010-10-11,3553696.38
2010-10-18,3549068.29
2010-10-25,3682022.11
2010-11-01,3621754.65
2010-11-08,3492778.79
2010-11-15,3417054.37
2010-11-22,3461795.9
2010-11-29,3334112.89
2010-12-06,3350930.76
2010-12-13,3357562.89
2010-12-20,3396398.92
2010-12-27,3349640.04
2011-01-03,3312866.76
2011-01-10,3336251.19
2011-01-17,3289800.2
2011-01-24,3266796.82
2011-01-31,3258765.94
2011-02-07,3259575.05
2011-02-14,3258556.69
2011-02-21,3261422.82
2011-02-28,3265206.91
2011-03-07,3261240.73
2011-03-14,3257188.33
2011-03-21,3257648.92
2011-03-28,3258312.01
2011-04-04,3247864.66
2011-04-11,3256041.43
2011-04-18,3286918.49
2011-04-25,3242574.56
2011-05-02,3244457.65
2011-05-09,3229192.19
2011-05-16,3227768.87
2011-05-23,3244526.85
2011-05-30,3258382.2
2011-06-06,3249684.8
2011-06-13,3225670.61
2011-06-20,3305778.65
2011-06-27,3326052.75
2011-07-04,3362738.42
2011-07-11,3418132.57
2011-07-18,3418440.94
2011-07-25,3303026.09
2011-08-01,3275766.81
2011-08-08,3202380.27
2011-08-15,3205455.63
2011-08-22,3248764.13
2011-08-29,3260053.63
2011-09-05,3236659.32
2011-09-12,3207757.99
2011-09-19,3183085.53
2011-09-26,3152336.01
2011-10-03,3182494.94
2011-10-10,3184008.45
2011-10-17,3206897.51
2011-10-24,3230166.6
2011-10-31,3211190.45
2011-11-07,3074628.24
2011-11-14,3053740.27
2011-11-21,3069523.87
2011-11-28,3051579.55
2011-12-05,3017222.88
2011-12-12,3009555.76
2011-12-19,3009817.83
2011-12-26,3004423.4
2012-01-02,3008404.13
2012-01-09,3009678.77
2012-01-16,3013166.37
2012-01-23,3021443.23
2012-01-30,3066217.34
2012-02-06,3120556.88
2012-02-13,3039502.61
2012-02-20,3076554.91
2012-02-27,3098204.91
