symbol,entry_date,exit_date,entry,exit,return_pct,pnl,weeks_held
LUPIN.NS,2008-08-11,2008-10-06,131.97,116.06,-12.1,-5010.0,8
CASTROLIND.NS,2008-08-25,2008-10-06,21.02,18.82,-10.5,-4376.0,6
AARTIIND.NS,2008-09-01,2008-09-29,7.49,6.23,-16.9,-6945.0,4
HEROMOTOCO.NS,2008-09-01,2008-10-20,485.33,406.78,-16.2,-6624.0,7
NESTLEIND.NS,2008-11-10,2010-01-04,433.38,98.71,-77.2,-30576.0,60
HINDUNILVR.NS,2008-12-15,2009-03-02,184.25,159.4,-13.5,-5500.0,11
GODREJCP.NS,2008-12-22,2009-01-05,40.67,36.03,-11.4,-4696.0,2
HEROMOTOCO.NS,2009-02-09,2009-08-03,521.8,842.74,61.5,23814.0,25
COLPAL.NS,2009-02-16,2010-03-29,157.46,244.69,55.4,21556.0,58
ABBOTINDIA.NS,2009-03-09,2010-01-25,226.42,563.49,148.9,57973.0,46
TATACOMM.NS,2009-03-23,2009-05-25,257.47,254.1,-1.3,-711.0,9
PAGEIND.NS,2009-04-13,2009-05-11,405.23,340.31,-16.0,-6479.0,4
PFIZER.NS,2009-04-13,2009-07-06,425.9,443.64,4.2,1433.0,12
BRITANNIA.NS,2009-04-13,2009-08-17,119.72,133.89,11.8,4467.0,18
MARUTI.NS,2009-04-13,2009-10-05,730.19,1301.25,78.2,30563.0,25
GLAXO.NS,2009-04-20,2009-05-18,410.33,385.78,-6.0,-2548.0,4
DABUR.NS,2009-04-20,2009-08-17,44.32,51.53,16.3,6205.0,17
MARICO.NS,2009-04-27,2010-12-06,27.57,49.22,78.6,30762.0,84
TVSMOTOR.NS,2009-05-04,2009-07-06,17.5,16.76,-4.2,-1861.0,9
LICHSGFIN.NS,2009-05-04,2009-10-26,56.25,111.6,98.4,38613.0,25
PFC.NS,2009-05-04,2010-01-25,27.82,42.02,51.0,19922.0,38
LUPIN.NS,2009-05-04,2010-12-06,140.38,418.64,198.2,77798.0,83
BAJAJ-AUTO.NS,2009-05-11,2009-06-08,260.82,322.37,23.6,9074.0,4
CANBK.NS,2009-05-11,2009-06-08,32.04,31.03,-3.2,-1441.0,4
GODREJCP.NS,2009-05-11,2009-06-15,45.61,46.2,1.3,306.0,5
PNB.NS,2009-05-11,2009-07-06,93.29,93.11,-0.2,-271.0,8
MPHASIS.NS,2009-05-11,2009-11-23,180.27,421.47,133.8,52253.0,28
BANKBARODA.NS,2009-05-11,2010-11-15,58.22,141.51,143.0,55964.0,79
BPCL.NS,2009-05-18,2009-06-08,16.28,15.69,-3.6,-1662.0,3
HINDPETRO.NS,2009-05-18,2009-06-08,22.92,21.32,-7.0,-3026.0,3
SBIN.NS,2009-05-18,2009-06-08,138.2,131.79,-4.6,-2076.0,3
ACC.NS,2009-05-18,2009-06-15,563.51,582.91,3.4,1173.0,4
FACT.NS,2009-05-18,2009-06-15,34.93,40.37,15.5,6083.0,4
GMRAIRPORT.NS,2009-05-18,2009-06-15,74.21,65.43,-11.8,-4981.0,4
IGL.NS,2009-05-18,2009-06-15,11.06,10.26,-7.3,-3145.0,4
KAJARIACER.NS,2009-05-18,2009-06-15,16.1,12.94,-19.6,-8139.0,4
NTPC.NS,2009-05-18,2009-06-15,102.55,94.62,-7.7,-3327.0,4
SPLPETRO.NS,2009-05-18,2009-06-15,6.78,6.36,-6.2,-2699.0,4
IOC.NS,2009-05-18,2009-06-22,18.78,19.56,4.1,1473.0,5
FORTIS.NS,2009-05-18,2009-06-29,101.25,93.31,-7.8,-3371.0,6
BANKINDIA.NS,2009-05-18,2009-07-06,233.07,224.67,-3.6,-1652.0,7
BHEL.NS,2009-05-18,2009-07-06,216.0,212.87,-1.4,-786.0,7
HDFCBANK.NS,2009-05-18,2009-07-06,59.05,59.22,0.3,-89.0,7
UNIONBANK.NS,2009-05-18,2009-08-10,128.18,142.13,10.9,4195.0,12
SHREECEM.NS,2009-05-18,2009-08-17,942.19,1402.19,48.8,19528.0,13
APOLLOHOSP.NS,2009-05-18,2009-08-24,238.84,243.73,2.0,623.0,14
BEL.NS,2009-05-18,2009-10-26,10.1,11.02,9.2,3514.0,23
TORNTPOWER.NS,2009-05-18,2009-12-14,99.47,216.58,117.7,47344.0,30
EIDPARRY.NS,2009-05-18,2010-02-01,102.62,143.27,39.6,15814.0,37
ENGINERSIN.NS,2009-05-18,2010-02-22,37.52,97.21,159.1,64102.0,40
CANFINHOME.NS,2009-05-25,2009-06-08,14.3,12.04,-15.8,-6800.0,2
ITI.NS,2009-05-25,2009-06-15,44.5,38.45,-13.6,-5882.0,3
ONGC.NS,2009-05-25,2009-06-15,91.78,76.99,-16.1,-3423.0,3
SONATSOFTW.NS,2009-05-25,2009-06-15,6.65,5.68,-14.7,-6325.0,3
VTL.NS,2009-05-25,2009-06-15,19.98,17.5,-12.4,-5383.0,3
AUROPHARMA.NS,2009-05-25,2009-07-06,35.87,38.57,7.5,2921.0,6
JPPOWER.NS,2009-05-25,2009-07-06,72.13,68.32,-5.3,-2412.0,6
TTML.NS,2009-05-25,2009-07-06,28.71,25.75,-10.3,-3.0,6
EMAMILTD.NS,2009-05-25,2010-11-22,44.46,114.91,158.5,65922.0,78
M%26MFIN.NS,2009-06-08,2009-06-22,27.02,23.45,-13.2,-5819.0,2
ELGIEQUIP.NS,2009-06-08,2009-07-06,12.04,10.18,-15.4,-6766.0,4
LT.NS,2009-06-08,2009-07-06,552.67,468.98,-15.1,-6641.0,4
VEDL.NS,2009-06-08,2009-10-26,58.97,90.05,52.7,22168.0,20
BALRAMCHIN.NS,2009-06-08,2009-11-23,84.69,103.24,21.9,5008.0,24
JINDALSTEL.NS,2009-06-08,2010-01-11,399.63,649.81,62.6,26241.0,31
SBIN.NS,2009-06-15,2009-07-06,140.04,124.18,-11.3,-4823.0,3
CIPLA.NS,2009-06-15,2009-08-17,237.78,234.15,-1.5,-828.0,9
PAGEIND.NS,2009-06-15,2010-03-15,410.75,660.84,60.9,24494.0,39
CASTROLIND.NS,2009-06-15,2010-10-11,24.88,65.6,163.7,66691.0,69
ADANIENT.NS,2009-06-22,2009-07-06,50.8,45.46,-10.5,-4627.0,2
FACT.NS,2009-06-22,2009-07-06,44.35,33.89,-23.6,-10107.0,2
PETRONET.NS,2009-06-22,2009-07-06,22.89,18.56,-18.9,-2368.0,2
VTL.NS,2009-06-22,2009-07-06,18.28,14.68,-19.7,-8460.0,2
ZYDUSLIFE.NS,2009-06-22,2009-07-06,44.96,40.88,-9.1,-4019.0,2
ACC.NS,2009-06-22,2009-08-17,625.65,617.29,-1.3,-769.0,8
CANBK.NS,2009-06-22,2009-10-26,35.78,47.45,32.6,13476.0,18
GLAXO.NS,2009-06-22,2010-01-18,435.93,534.83,22.7,9261.0,30
GODREJCP.NS,2009-06-22,2010-01-25,49.89,68.64,37.6,15555.0,31
IGL.NS,2009-06-22,2010-09-20,10.3,25.59,148.5,15.0,65
BEML.NS,2009-06-29,2009-10-26,365.76,333.98,-8.7,-3386.0,17
ITC.NS,2009-07-06,2009-09-07,39.59,42.74,7.9,2992.0,9
CHOLAHLDNG.NS,2009-07-06,2009-10-26,30.42,32.85,8.0,3008.0,16
SUPREMEIND.NS,2009-07-06,2009-10-26,39.05,48.1,23.2,9113.0,16
GAIL.NS,2009-07-13,2009-08-03,37.92,35.67,-5.9,-2691.0,3
TVSMOTOR.NS,2009-07-13,2009-08-17,21.48,20.69,-3.7,-1739.0,5
GRASIM.NS,2009-07-13,2009-10-05,368.09,325.86,-11.5,-4968.0,12
AUROPHARMA.NS,2009-07-13,2009-10-26,44.59,67.35,51.1,21117.0,15
BHEL.NS,2009-07-13,2009-10-26,241.8,240.35,-0.6,-438.0,15
BAJFINANCE.NS,2009-07-13,2010-01-25,1.58,2.73,72.7,30166.0,28
M%26M.NS,2009-07-13,2010-01-25,161.51,212.0,31.3,12835.0,28
VTL.NS,2009-07-13,2010-02-01,20.84,36.0,72.7,30168.0,29
GRANULES.NS,2009-07-13,2010-05-17,5.73,8.33,45.3,18712.0,44
PNB.NS,2009-07-13,2010-11-15,106.3,205.57,93.4,38806.0,70
ZYDUSLIFE.NS,2009-07-13,2011-02-07,43.03,138.49,221.9,92446.0,82
MAHABANK.NS,2009-07-20,2009-10-26,30.37,29.89,-1.6,-1.0,14
SPLPETRO.NS,2009-07-27,2009-11-23,9.54,8.8,-7.8,-1.0,17
SCHAEFFLER.NS,2009-08-03,2009-08-17,92.0,82.79,-10.0,-4611.0,2
WELSPUNLIV.NS,2009-08-03,2010-01-18,4.07,6.85,68.5,29880.0,24
HINDZINC.NS,2009-08-03,2010-01-25,25.34,37.68,48.7,6752.0,25
NATCOPHARM.NS,2009-08-10,2009-10-19,17.69,19.1,7.9,3300.0,10
BSOFT.NS,2009-08-17,2009-09-07,17.61,17.72,0.6,50.0,3
JBMA.NS,2009-08-17,2009-10-26,1.55,1.58,1.7,541.0,10
PATANJALI.NS,2009-08-17,2009-10-26,2399.81,2498.04,4.1,1548.0,10
NAVINFLUOR.NS,2009-08-17,2010-02-01,29.26,40.15,37.2,16114.0,24
YESBANK.NS,2009-08-17,2010-02-01,31.96,44.25,38.5,16670.0,24
FORTIS.NS,2009-08-17,2010-04-12,111.18,159.82,43.7,18994.0,34
LTFOODS.NS,2009-08-24,2009-10-19,5.01,5.28,5.4,2246.0,8
ATUL.NS,2009-08-24,2009-10-26,64.99,61.24,-5.8,-2662.0,9
MRF.NS,2009-09-07,2009-10-26,5063.15,5028.33,-0.7,-540.0,7
CENTRALBK.NS,2009-09-07,2010-01-25,88.32,111.24,25.9,10604.0,20
TIMKEN.NS,2009-10-05,2009-10-26,102.37,89.56,-12.5,-6462.0,3
OFSS.NS,2009-10-05,2010-01-18,1116.83,1188.29,6.4,2891.0,15
FINCABLES.NS,2009-10-19,2010-01-25,44.54,43.34,-2.7,-1668.0,14
COFORGE.NS,2009-10-19,2010-02-01,21.37,23.95,12.1,5902.0,15
ZENSARTECH.NS,2009-10-26,2010-01-18,16.88,21.15,25.3,12335.0,12
APOLLOTYRE.NS,2009-11-02,2009-11-23,47.25,40.11,-15.1,-7936.0,3
RADICO.NS,2009-11-02,2009-12-14,111.22,103.37,-7.1,-3839.0,6
HBLENGINE.NS,2009-11-02,2009-12-21,34.65,31.53,-9.0,-4827.0,7
