date,nifty_close,india_vix
2016-08-01,8636.55,15.18
2016-08-02,8622.9,15.69
2016-08-03,8544.85,16.24
2016-08-04,8551.1,15.14
2016-08-05,8683.15,14.35
2016-08-08,8711.35,14.59
2016-08-09,8678.25,14.54
2016-08-10,8575.3,14.92
2016-08-11,8592.15,14.21
2016-08-12,8592.15,13.77
2016-08-16,8642.55,14.18
2016-08-17,8624.05,14.78
2016-08-18,8673.25,14.55
2016-08-19,8666.9,14.54
2016-08-22,8629.15,14.24
2016-08-23,8632.6,13.9
2016-08-24,8650.3,13.49
2016-08-25,8592.2,13.29
2016-08-26,8572.55,13.57
2016-08-29,8607.45,13.17
2016-08-30,8744.35,13.02
2016-08-31,8786.2,13.24
2016-09-01,8774.65,13.34
2016-09-02,8809.65,12.94
2016-09-06,8943.0,12.75
2016-09-07,8917.95,13.15
2016-09-08,8952.5,13.12
2016-09-09,8866.7,13.23
2016-09-12,8715.6,15.24
2016-09-14,8726.6,14.76
2016-09-15,8742.55,14.68
2016-09-16,8779.85,14.58
2016-09-19,8808.4,14.94
2016-09-20,8775.9,14.78
2016-09-21,8777.15,14.81
2016-09-22,8867.45,13.34
2016-09-23,8831.55,13.25
2016-09-26,8723.05,14.57
2016-09-27,8706.4,14.25
2016-09-28,8745.15,13.85
2016-09-29,8591.25,18.45
2016-09-30,8611.15,17.18
2016-10-03,8738.1,15.62
2016-10-04,8769.15,14.99
2016-10-05,8743.95,14.93
2016-10-06,8709.55,14.84
2016-10-07,8697.6,14.49
2016-10-10,8708.8,14.29
2016-10-13,8573.35,15.43
2016-10-14,8583.4,14.89
2016-10-17,8520.4,15.66
2016-10-18,8677.9,14.54
2016-10-19,8659.1,14.61
2016-10-20,8699.4,14.17
2016-10-21,8693.05,13.83
2016-10-24,8708.95,14.33
2016-10-25,8691.3,14.48
2016-10-26,8615.25,14.45
2016-10-27,8615.25,14.09
2016-10-28,8638.0,14.65
2016-11-01,8626.25,15.74
2016-11-02,8514.0,16.8
2016-11-03,8484.95,16.47
2016-11-04,8433.75,16.85
2016-11-07,8497.05,16.51
2016-11-08,8543.55,16.77
2016-11-09,8432.0,16.62
2016-11-10,8525.75,15.46
2016-11-11,8296.3,17.36
2016-11-15,8108.45,20.15
2016-11-16,8111.6,19.5
2016-11-17,8079.95,18.71
2016-11-18,8074.1,17.81
2016-11-21,7929.1,19.1
2016-11-22,8002.3,18.47
2016-11-23,8033.3,18.04
2016-11-24,7965.5,17.16
2016-11-25,8114.3,17.61
2016-11-28,8126.9,18.06
2016-11-29,8142.15,17.71
2016-11-30,8224.5,16.85
2016-12-01,8192.9,16.69
2016-12-02,8086.8,17.93
2016-12-05,8128.75,17.29
2016-12-06,8143.15,17.11
2016-12-07,8102.05,16.85
2016-12-08,8246.85,15.53
2016-12-09,8261.75,15.07
2016-12-12,8170.8,16.19
2016-12-13,8221.8,15.92
2016-12-14,8182.45,16.59
2016-12-15,8153.6,15.66
2016-12-16,8139.45,15.25
2016-12-19,8104.35,14.84
2016-12-20,8082.4,14.54
2016-12-21,8061.3,14.71
2016-12-22,7979.1,15.55
2016-12-23,7985.75,15.13
2016-12-26,7908.25,16.6
2016-12-27,8032.85,15.08
2016-12-28,8034.85,15.54
2016-12-29,8103.6,15.28
2016-12-30,8185.8,15.47
2017-01-02,8179.5,15.83
2017-01-03,8192.25,15.96
2017-01-04,8190.5,15.89
2017-01-05,8273.8,15.05
2017-01-06,8243.8,14.91
2017-01-09,8236.05,15.48
2017-01-10,8288.6,15.2
2017-01-11,8380.65,14.81
2017-01-12,8407.2,14.61
2017-01-13,8400.35,14.38
2017-01-16,8412.8,15.07
2017-01-17,8398.0,15.39
2017-01-18,8417.0,15.18
2017-01-19,8435.1,15.02
2017-01-20,8349.35,15.79
2017-01-23,8391.5,15.91
2017-01-24,8475.8,15.29
2017-01-25,8602.75,15.17
2017-01-27,8641.25,16.01
2017-01-30,8632.75,16.67
2017-01-31,8561.3,16.83
2017-02-01,8716.4,13.97
2017-02-02,8734.25,13.52
2017-02-03,8740.95,13.13
2017-02-06,8801.05,13.4
2017-02-07,8768.3,13.51
2017-02-08,8769.05,13.35
2017-02-09,8778.4,13.24
2017-02-10,8793.55,13.18
2017-02-13,8805.05,13.69
2017-02-14,8792.3,13.8
2017-02-15,8724.7,14.21
2017-02-16,8778.0,13.73
2017-02-17,8821.7,13.43
2017-02-20,8879.2,13.61
2017-02-21,8907.85,13.53
2017-02-22,8926.9,13.7
2017-02-23,8939.5,13.4
2017-02-27,8896.7,13.68
2017-02-28,8879.6,13.79
2017-03-01,8945.8,13.58
2017-03-02,8899.75,13.36
2017-03-03,8897.55,13.35
2017-03-06,8963.45,13.64
2017-03-07,8946.9,13.88
2017-03-08,8924.3,14.08
2017-03-09,8927.0,14.39
2017-03-10,8934.55,13.96
2017-03-14,9087.0,12.4
2017-03-15,9084.8,12.42
2017-03-16,9153.7,11.91
2017-03-17,9160.05,11.85
2017-03-20,9126.85,12.02
2017-03-21,9121.5,11.94
2017-03-22,9030.45,12.27
2017-03-23,9086.3,11.84
2017-03-24,9108.0,11.98
2017-03-27,9045.2,12.44
2017-03-28,9100.8,12.12
2017-03-29,9143.8,12.09
2017-03-30,9173.75,12.15
2017-03-31,9173.75,12.42
2017-04-03,9237.85,11.49
2017-04-05,9265.15,11.55
2017-04-06,9261.95,11.29
2017-04-07,9198.3,11.69
2017-04-10,9181.45,11.62
2017-04-11,9237.0,11.4
2017-04-12,9203.45,11.63
2017-04-13,9150.8,11.58
2017-04-17,9139.3,11.89
2017-04-18,9105.15,12.38
2017-04-19,9103.5,12.22
2017-04-20,9136.4,11.56
2017-04-21,9119.4,11.42
2017-04-24,9217.95,11.63
2017-04-25,9306.6,11.16
2017-04-26,9351.85,11.74
