entry,expiry,spot_entry,strike,india_vix,premium_paid,spot_expiry,move_pct,net_pnl_points,return_pct
2016-08-26,2016-09-29,8572.55,8550,13.57,288.22,8591.25,0.22,-252.74,-85.97
2016-09-30,2016-10-27,8611.15,8600,17.18,322.76,8615.25,0.05,-313.97,-95.37
2016-10-28,2016-11-24,8638.00,8650,14.65,275.14,7965.50,-7.79,403.86,143.91
2016-11-25,2016-12-29,8114.30,8100,17.61,350.23,8103.60,-0.13,-353.64,-98.99
2016-12-30,2017-01-25,8185.80,8200,15.47,269.92,8602.75,5.09,127.43,46.28
2017-01-27,2017-02-23,8641.25,8650,16.01,300.77,8939.50,3.45,-17.28,-5.63
2017-02-27,2017-03-30,8896.70,8900,13.68,284.61,9173.75,3.11,-16.55,-5.70
2017-03-31,2017-04-27,9173.75,9150,12.42,252.22,9342.15,1.84,-65.11,-25.31
2017-04-28,2017-05-25,9304.05,9300,10.86,222.12,9509.75,2.21,-16.82,-7.42
2017-05-26,2017-06-29,9595.10,9600,10.86,256.57,9504.10,-0.95,-165.80,-63.36
2017-06-30,2017-07-27,9520.90,9500,11.73,247.30,10020.55,5.25,268.31,106.37
2017-07-28,2017-08-31,10014.50,10000,11.14,277.21,9917.90,-0.96,-200.65,-70.96
2017-09-01,2017-09-28,9974.40,9950,11.68,258.44,9768.95,-2.06,-82.55,-31.32
2017-09-29,2017-10-26,9788.60,9800,12.49,266.34,10343.80,5.67,272.13,100.17
2017-10-27,2017-11-30,10323.05,10300,11.48,295.39,10226.55,-0.93,-227.85,-75.62
2017-12-01,2017-12-28,10121.80,10100,14.80,328.77,10477.90,3.52,42.56,12.69
2017-12-29,2018-01-25,10530.70,10550,12.67,290.17,11069.65,5.12,223.67,75.57
2018-01-29,2018-02-22,11130.40,11150,17.89,407.46,10382.70,-6.72,351.69,84.62
2018-02-23,2018-03-28,10491.05,10500,14.20,358.94,10113.70,-3.60,20.18,5.51
2018-04-02,2018-04-26,10211.80,10200,15.35,322.86,10617.80,3.98,88.49,26.87
2018-04-27,2018-05-31,10692.30,10700,12.02,315.42,10736.15,0.41,-285.58,-88.76
2018-06-01,2018-06-28,10696.20,10700,13.57,316.55,10589.10,-1.00,-211.98,-65.65
2018-06-29,2018-07-26,10714.30,10700,12.94,304.49,11167.30,4.23,156.72,50.46
2018-07-27,2018-08-30,11278.35,11300,12.31,339.42,11676.80,3.53,30.59,8.84
2018-08-31,2018-09-27,11680.50,11700,12.60,320.20,10977.55,-6.02,395.84,121.20
2018-09-28,2018-10-25,10930.45,10950,17.00,403.45,10124.90,-7.37,413.58,100.50
2018-10-26,2018-11-29,10030.00,10050,19.23,469.79,10858.70,8.26,329.51,68.76
2018-11-30,2018-12-27,10876.75,10900,19.16,452.18,10779.80,-0.89,-341.02,-73.94
2018-12-28,2019-01-31,10859.90,10850,15.27,406.88,10830.95,-0.27,-395.97,-95.41
2019-02-01,2019-02-28,10893.65,10900,15.72,372.62,10792.50,-0.93,-272.57,-71.72
2019-03-01,2019-03-28,10863.50,10850,16.27,385.94,11570.00,6.50,326.34,82.90
2019-04-01,2019-04-25,11669.15,11650,18.01,432.19,11641.80,-0.23,-432.63,-98.14
2019-04-26,2019-05-30,11754.65,11750,21.72,622.55,11945.90,1.63,-439.10,-69.15
2019-05-31,2019-06-27,11922.80,11900,16.07,419.25,11841.55,-0.68,-369.19,-86.33
2019-06-28,2019-07-25,11788.85,11800,14.95,383.42,11252.15,-4.55,156.76,40.08
2019-07-26,2019-08-29,11284.30,11300,12.13,335.17,10948.30,-2.98,9.83,2.88
2019-08-30,2019-09-26,11023.25,11000,16.28,392.79,11571.20,4.97,170.55,42.57
2019-09-27,2019-10-31,11512.40,11500,16.11,454.72,11877.45,3.17,-86.36,-18.62
2019-11-01,2019-11-28,11890.60,11900,15.73,406.83,12151.15,2.19,-163.82,-39.48
2019-11-29,2019-12-26,12056.05,12050,13.90,366.25,12126.55,0.58,-297.02,-79.51
