,nasdaq100,nifty50,gold
2007-09-17,79753.52471656865,4494.64990234375,28787.32743189088
2007-09-18,81481.96894007782,4546.2001953125,28655.62158849486
2007-09-19,80868.4792460571,4732.35009765625,28602.031211853027
2007-09-20,80836.90004788665,4747.5498046875,29127.54930621339
2007-09-21,81507.81976141967,4837.5498046875,29087.779305755626
2007-09-24,81590.53468608856,4932.2001953125,29035.08492002869
2007-09-25,82311.00528211147,4938.85009765625,28995.501408190932
2007-09-26,82810.52723823488,4940.5,28879.279327050783
2007-09-27,82964.63159819786,5000.5498046875,28996.60354209901
2007-09-28,82755.6840966111,5021.35009765625,29396.310083618155
2007-10-01,83774.85659152735,5068.9501953125,29568.947474035667
2007-10-03,82471.63970864471,5210.7998046875,28600.22803195496
2007-10-04,82969.59153862298,5208.64990234375,29073.007618347183
2007-10-05,84707.74064737558,5185.85009765625,29210.925114074722
2007-10-08,84702.4430416748,5085.10009765625,28692.782627502456
2007-10-09,85057.14856322482,5327.25,28887.645393829327
2007-10-10,85415.98664654419,5441.4501953125,29050.335403100587
2007-10-11,83699.26695913076,5524.85009765625,29372.073939880356
2007-10-12,85148.52132689208,5428.25,29270.42789117433
2007-10-15,84532.50690561533,5670.39990234375,29644.248619873077
2007-10-16,84907.64414419793,5668.0498046875,29879.547508239746
2007-10-17,86195.87911594845,5559.2998046875,29962.912731170654
2007-10-18,86297.66643945314,5351.0,30143.744619827252
2007-10-19,84071.11070791632,5215.2998046875,30139.800582885742
2007-10-22,85035.89180064388,5184.0,29789.85721081542
2007-10-23,86828.95980834961,5473.7001953125,29885.625
2007-10-24,86390.21560424007,5496.14990234375,30062.635510913096
2007-10-25,84807.23928559572,5568.9501953125,30105.015489379875
2007-10-26,86104.74343786016,5702.2998046875,30756.317936340347
2007-10-29,86407.11257254332,5905.89990234375,30944.55566300964
2007-10-30,86781.15635444503,5868.75,30830.83359721373
2007-10-31,87709.80127658509,5900.64990234375,31025.807830810547
