date,us_treasury_10y,inflation,gold,sp500,dollar_index
2019-01-01,3.0,3.0,100.0,100.0,100.0
2019-01-02,2.9395,2.8827,100.8804,101.6951,100.3921
2019-01-03,2.9788,2.8294,98.6078,104.1953,98.8279
2019-01-04,3.031,2.838,98.4539,104.0807,100.0459
2019-01-07,3.0544,2.8102,97.3336,103.8283,100.7077
2019-01-08,2.8936,2.7363,96.4445,104.1615,99.279
2019-01-09,2.7126,2.682,96.6945,103.0988,97.4114
2019-01-10,2.571,2.6051,98.2894,105.2821,95.4393
2019-01-11,2.6014,2.7064,98.1077,106.6022,94.5552
2019-01-14,2.7041,2.6688,98.6929,105.9906,94.652
2019-01-15,2.7766,2.5979,98.7125,107.212,94.0451
2019-01-16,2.7648,2.5696,98.0157,105.852,93.9321
2019-01-17,2.8231,2.5263,97.4025,107.4662,93.2579
2019-01-18,2.8653,2.5222,97.9515,109.3859,91.5409
2019-01-21,2.8289,2.5924,97.3366,106.4934,93.9628
2019-01-22,2.8135,2.6082,97.6473,106.2572,94.9834
2019-01-23,2.8355,2.5065,96.7932,108.2052,93.8031
2019-01-24,2.8601,2.5361,96.5676,109.2514,93.5125
2019-01-25,2.8703,2.6091,97.2728,111.5941,94.3035
2019-01-28,2.8357,2.6627,99.2851,112.3379,94.5559
2019-01-29,2.8479,2.7726,99.7269,111.2009,93.0801
2019-01-30,2.8935,2.6906,97.6086,110.6587,93.3355
2019-01-31,3.0211,2.8073,97.4396,111.3749,91.6562
2019-02-01,3.0336,2.9002,98.3828,113.0073,90.8047
2019-02-04,2.9816,2.9169,99.3827,113.2964,91.6271
2019-02-05,2.9459,2.9569,100.7675,114.6176,90.823
2019-02-06,2.8371,2.8107,100.4823,114.5491,91.8468
2019-02-07,2.831,2.7667,99.5632,118.3198,93.3509
2019-02-08,3.0165,2.7991,98.5184,116.1367,93.5201
2019-02-11,3.1297,2.9987,98.7422,116.3838,93.4244
2019-02-12,3.1658,2.9332,99.0363,116.7518,92.6354
2019-02-13,3.1589,3.027,99.0992,117.127,93.3596
2019-02-14,3.0891,3.0323,99.6119,114.5029,93.078
2019-02-15,3.1478,2.9977,99.8559,114.1229,93.8921
2019-02-18,3.234,3.0916,100.2055,115.6079,94.5162
2019-02-19,3.1986,3.0527,100.0842,115.7766,94.3235
2019-02-20,3.1924,3.0508,100.6187,114.7671,93.3414
2019-02-21,3.0453,3.0613,102.5953,115.6954,92.4961
2019-02-22,3.093,3.0659,102.3948,114.1477,93.5606
2019-02-25,3.1458,3.1592,103.8572,116.9434,94.0839
2019-02-26,3.2501,3.2371,103.4978,118.1257,94.7234
2019-02-27,3.2047,3.1949,102.8146,117.1531,94.9613
2019-02-28,3.0934,3.1939,103.7158,115.8477,96.4291
2019-03-01,3.1246,3.2685,103.9247,115.5146,96.6897
2019-03-04,3.0886,3.2308,104.6003,115.0764,95.8234
2019-03-05,3.1045,3.2191,104.593,113.6095,96.7701
2019-03-06,3.077,3.1498,104.315,114.8353,96.6467
2019-03-07,3.0785,3.1114,103.4617,113.5106,95.9813
2019-03-08,3.2446,3.1831,101.0687,111.0559,96.9083
2019-03-11,3.1413,3.1931,103.1962,108.746,97.5028
