Symbol,Price,Price > 50/150/200 MA,MA 50>150>200,200 MA Rising (1M),50 MA Rising,Within 25% of 52W High,30%+ Above 52W Low (Optional),Price > 10 MA,Price >= ₹50,Weekly Uptrend,150 MA Rising,Sufficient Volume,RS vs Nifty Strong,Nifty in Uptrend,Volatility Contracting,Volume Contracting,RS_Rating,Passed,Mandatory,FULL_VCP_SETUP,Note
ADANIENSOL,1702.2,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,98.5,13,14,False,
CUMMINSIND,5600.5,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,94.0,13,14,False,
FEDERALBNK,354.3,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,92.6,13,14,False,
MOTHERSON,145.55,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,89.9,13,14,False,
MARICO,855.6,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,80.3,13,14,False,
TITAN,4677.0,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,78.5,13,14,False,
HFCL,196.85,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,99.0,12,14,False,
SONACOMS,717.95,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,97.6,12,14,False,
ABB,7375.5,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,96.7,12,14,False,
LAURUSLABS,1601.2,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,95.8,12,14,False,
BHARATFORG,2151.6,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,95.4,12,14,False,
GRANULES,833.55,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,94.9,12,14,False,
ADANIENT,3026.4,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,94.4,12,14,False,
AARTIIND,477.8,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,93.5,12,14,False,
AUROPHARMA,1532.0,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,92.2,12,14,False,
ZYDUSLIFE,1108.7,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,90.8,12,14,False,
NYKAA,322.8,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,90.3,12,14,False,
NAVINFLUOR,7520.0,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,86.7,12,14,False,
APOLLOHOSP,8805.5,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,86.2,12,14,False,
BAJAJ-AUTO,11130.0,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,84.4,12,14,False,
SUNPHARMA,1941.1,True,True,True,True,True,False,False,True,True,True,True,True,False,True,True,83.0,12,14,False,
BOSCHLTD,41755.0,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,80.8,12,14,False,
MANAPPURAM,352.95,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,79.8,12,14,False,
LUPIN,2370.5,True,True,True,True,True,False,False,True,True,True,True,True,False,True,True,75.3,12,14,False,
ABCAPITAL,393.85,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,74.8,12,14,False,
GMRAIRPORT,107.12,True,True,True,True,True,False,False,True,True,True,True,True,False,True,True,72.5,12,14,False,
EICHERMOT,7628.0,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,65.2,12,14,False,
BHEL,417.3,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,98.1,11,14,False,
CGPOWER,867.7,False,True,True,True,True,True,False,True,True,True,True,True,False,True,True,97.2,11,14,False,
EXIDEIND,443.0,True,False,True,True,True,True,True,True,True,True,True,True,False,True,False,91.2,11,14,False,
SIEMENS,3689.8,True,True,True,False,True,True,True,True,False,True,True,True,False,True,True,89.4,11,14,False,
ADANIPORTS,1768.3,False,True,True,True,True,True,False,True,True,True,True,True,False,True,True,88.1,11,14,False,
TORNTPHARM,4961.5,True,True,True,True,True,True,False,True,True,True,True,True,False,True,False,87.6,11,14,False,
IPCALAB,1762.7,True,True,True,True,True,True,False,True,True,True,True,True,False,True,False,83.5,11,14,False,
