,drawdown
2006-07-31,0.0
2006-08-31,0.0
2006-09-30,0.0
2006-10-31,0.0
2006-11-30,0.0
2006-12-31,0.0
2007-01-31,-0.02103757674834461
2007-02-28,-0.09955791257830915
2007-03-31,-0.12188307524035447
2007-04-30,-0.014924122700612386
2007-05-31,0.0
2007-06-30,0.0
2007-07-31,0.0
2007-08-31,-0.010641244776351866
2007-09-30,0.0
2007-10-31,0.0
2007-11-30,0.0
2007-12-31,0.0
2008-01-31,-0.19962000157751536
2008-02-29,-0.1918134205677543
2008-03-31,-0.29488776724412313
2008-04-30,-0.22187504855711904
2008-05-31,-0.26352942506307664
2008-06-30,-0.39533622518283484
2008-07-31,-0.37063227865850046
2008-08-31,-0.37176079272317486
2008-09-30,-0.4220568735615866
2008-10-31,-0.5438572726864139
2008-11-30,-0.5443757799443216
2008-12-31,-0.489054926116256
2009-01-31,-0.5330630087071204
2009-02-28,-0.539384766557673
2009-03-31,-0.5211932073995836
2009-04-30,-0.47931549194894874
2009-05-31,-0.35772647758454423
2009-06-30,-0.3456624897292191
2009-07-31,-0.25567220958818127
2009-08-31,-0.2755980470217728
2009-09-30,-0.2093095762360141
2009-10-31,-0.18340225793759002
2009-11-30,-0.06796681787862091
2009-12-31,-0.013713570632947647
2010-01-31,-0.015408695571892173
2010-02-28,0.0
2010-03-31,0.0
2010-04-30,0.0
2010-05-31,-0.024419982626330827
2010-06-30,0.0
2010-07-31,0.0
2010-08-31,0.0
2010-09-30,0.0
2010-10-31,0.0
2010-11-30,0.0
2010-12-31,-0.036127349267033315
2011-01-31,-0.10740607088991916
2011-02-28,-0.1397332819131557
2011-03-31,-0.0706778477395823
2011-04-30,-0.06987898106765034
2011-05-31,-0.080005106161257
2011-06-30,-0.07697693780723847
2011-07-31,-0.0528906969725611
2011-08-31,-0.09296738617978739
2011-09-30,-0.12375911678795704
2011-10-31,-0.09618529689947031
2011-11-30,-0.15061015285953494
2011-12-31,-0.15678610222164058
2012-01-31,-0.13118981479068392
2012-02-29,-0.07438322088097071
2012-03-31,-0.025156384356890826
2012-04-30,-0.02081458222561805
2012-05-31,-0.05157930448722481
2012-06-30,0.0
2012-07-31,0.0
2012-08-31,0.0
2012-09-30,0.0
2012-10-31,0.0
2012-11-30,0.0
2012-12-31,0.0
2013-01-31,-0.009465740253195132
2013-02-28,-0.019470845663998926
2013-03-31,-0.04631113181403812
2013-04-30,-0.039502723597524936
2013-05-31,-0.02640888590754198
2013-06-30,-0.10582398397645165
2013-07-31,-0.12507149964880138
2013-08-31,-0.18165085015261795
2013-09-30,-0.1119576842119604
2013-10-31,-0.0465007396424455
2013-11-30,-0.046922953905478404
2013-12-31,-0.012083057865626134
2014-01-31,-0.02023512309353448
2014-02-28,0.0
2014-03-31,0.0
2014-04-30,0.0
2014-05-31,0.0
2014-06-30,0.0
2014-07-31,-0.051974497736113956
2014-08-31,-0.03516036409456402
2014-09-30,0.0
2014-10-31,0.0
2014-11-30,0.0
2014-12-31,0.0
2015-01-31,0.0
2015-02-28,0.0
2015-03-31,0.0
2015-04-30,-0.03377861691323247
2015-05-31,-0.0056715576043913085
2015-06-30,0.0
2015-07-31,0.0
2015-08-31,-0.05030117551163693
2015-09-30,-0.051453429787041816
2015-10-31,-0.04961889979562217
2015-11-30,-0.10481210370678007
2015-12-31,-0.12028858776584528
2016-01-31,-0.17660541029544796
2016-02-29,-0.23151211310068165
2016-03-31,-0.1731708381495365
2016-04-30,-0.1401128794105868
2016-05-31,-0.12728082397583151
2016-06-30,-0.062916873386757
2016-07-31,-0.004613130968930568
2016-08-31,0.0
2016-09-30,0.0
2016-10-31,0.0
2016-11-30,-0.039279718724866686
2016-12-31,-0.08469406135216584
2017-01-31,0.0
2017-02-28,0.0
2017-03-31,0.0
2017-04-30,0.0
2017-05-31,0.0
2017-06-30,-0.02476242481402746
2017-07-31,0.0
2017-08-31,-0.014511153646801334
2017-09-30,-0.011537220942289927
2017-10-31,0.0
2017-11-30,-0.015739889453348366
2017-12-31,0.0
2018-01-31,-0.007292067452909334
2018-02-28,-0.040525724950951636
2018-03-31,-0.09061106974701871
