,equity
2006-07-31,1.0
2006-08-31,1.512472784952219
2006-09-30,1.615403473301321
2006-10-31,1.7333561282607108
2006-11-30,1.8485920761142085
2006-12-31,1.953674770552085
2007-01-31,1.9125741876252909
2007-02-28,1.7591709885390123
2007-03-31,1.7155548814977029
2007-04-30,1.9245178885592749
2007-05-31,2.120000263678399
2007-06-30,3.29274353705345
2007-07-31,3.5462110738012624
2007-08-31,3.5084749737363334
2007-09-30,4.097899709569389
2007-10-31,5.302796815199918
2007-11-30,5.655595072117055
2007-12-31,6.181263798241283
2008-01-31,4.9473599090853195
2008-02-29,4.995614445668994
2008-03-31,4.358484718030983
2008-04-30,4.8097955928621365
2008-05-31,4.552318903327548
2008-06-30,3.7375863013852624
2008-07-31,3.890287911709819
2008-08-31,3.883312268576041
2008-09-30,3.5724189248961493
2008-10-31,2.819538527174515
2008-11-30,2.816333497032085
2008-12-31,3.1582862880873046
2009-01-31,2.8862607203383823
2009-02-28,2.8471842673955137
2009-03-31,2.959631093452976
2009-04-30,3.218488299921035
2009-05-31,3.9700620726755678
2009-06-30,4.044632764068112
2009-07-31,4.6008864248975
2009-08-31,4.4777195673196
2009-09-30,4.887466092028386
2009-10-31,5.047606060735948
2009-11-30,5.7611429674065056
2009-12-31,6.096496600543219
2010-01-31,6.086018586124625
2010-02-28,6.274630769156771
2010-03-31,7.154969369616392
2010-04-30,7.502926755157755
2010-05-31,7.31970541415017
2010-06-30,7.553029536301616
2010-07-31,8.038113063635574
2010-08-31,8.445993821960942
2010-09-30,8.970623903723125
2010-10-31,9.535793412829191
2010-11-30,9.683340999747774
2010-12-31,9.333507557378102
2011-01-31,8.643291389877604
2011-02-28,8.330255981968799
2011-03-31,8.998943298957146
2011-04-30,9.006678997354797
2011-05-31,8.9086242750673
2011-06-30,8.937947061843907
2011-07-31,9.171182345248138
2011-08-31,8.783106097513654
2011-09-30,8.484939270062377
2011-10-31,8.75194597070822
2011-11-30,8.22493153158476
2011-12-31,8.165127707914316
2012-01-31,8.412985287435827
2012-02-29,8.963062907297775
2012-03-31,9.439743151699279
2012-04-30,9.481786302289825
2012-05-31,9.183881005868155
2012-06-30,9.814219732501638
2012-07-31,10.193899571069649
2012-08-31,10.403555646289782
2012-09-30,10.911144697311126
2012-10-31,11.174825464497088
2012-11-30,12.363674383624662
2012-12-31,12.573436465376318
2013-01-31,12.454419581705015
2013-02-28,12.328621024492879
2013-03-31,11.991146391872842
2013-04-30,12.076751480013517
2013-05-31,12.241386016296467
2013-06-30,11.242865326335401
2013-07-31,11.000857910912778
2013-08-31,10.289461042100783
2013-09-30,11.16574363612657
2013-10-31,11.988762369889024
2013-11-30,11.983453685678004
2013-12-31,12.421510904995403
2014-01-31,12.319011430790693
2014-02-28,13.000272321302408
