,0,1,2,3,4,5,6,7,8,9
2006-07-31,PIDILITIND,SHREECEM,CGPOWER,SIEMENS,INDHOTEL,BAJAJHLDNG,ABB,AMBUJACEM,UNITDSPR,GODREJCP
2006-08-31,CGPOWER,PIDILITIND,SIEMENS,SHREECEM,BAJAJHLDNG,ABB,AMBUJACEM,INDHOTEL,GODREJCP,UNITDSPR
2006-09-30,CGPOWER,SHREECEM,SIEMENS,INDHOTEL,BAJAJHLDNG,ABB,GODREJCP,CUMMINSIND,AMBUJACEM,DIVISLAB
2006-10-31,CGPOWER,SHREECEM,SIEMENS,ABB,DIVISLAB,CUMMINSIND,INDHOTEL,AMBUJACEM,UNITDSPR,BAJAJHLDNG
2006-11-30,HINDZINC,CGPOWER,SHREECEM,DIVISLAB,AMBUJACEM,ABB,UNITDSPR,SIEMENS,PIDILITIND,CUMMINSIND
2006-12-31,HINDZINC,CGPOWER,SHREECEM,DIVISLAB,ABB,AMBUJACEM,CUMMINSIND,UNITDSPR,SIEMENS,INDHOTEL
2007-01-31,HINDZINC,CGPOWER,SHREECEM,DIVISLAB,VEDL,UNITDSPR,AMBUJACEM,CUMMINSIND,JINDALSTEL,ABB
2007-02-28,HINDZINC,CGPOWER,SHREECEM,DIVISLAB,VEDL,JINDALSTEL,ABB,AMBUJACEM,MOTHERSON,UNITDSPR
2007-03-31,HINDZINC,CGPOWER,DIVISLAB,VEDL,JINDALSTEL,ABB,CUMMINSIND,BOSCHLTD,PIDILITIND,INDHOTEL
2007-04-30,HINDZINC,CGPOWER,DIVISLAB,JINDALSTEL,VEDL,CUMMINSIND,ABB,BOSCHLTD,PNB,BANKBARODA
2007-05-31,HINDZINC,CGPOWER,DIVISLAB,UNITDSPR,ABB,JINDALSTEL,CUMMINSIND,SHREECEM,BOSCHLTD,VEDL
2007-06-30,HINDZINC,CGPOWER,ABB,DIVISLAB,UNITDSPR,JINDALSTEL,CUMMINSIND,BOSCHLTD,PNB,SHREECEM
2007-07-31,HINDZINC,CGPOWER,ABB,DIVISLAB,JINDALSTEL,UNITDSPR,CUMMINSIND,VEDL,BOSCHLTD,MOTHERSON
2007-08-31,HINDZINC,ABB,DIVISLAB,CGPOWER,JINDALSTEL,UNITDSPR,VEDL,CUMMINSIND,MOTHERSON,PIDILITIND
2007-09-30,HINDZINC,ABB,JINDALSTEL,UNITDSPR,DIVISLAB,CGPOWER,VEDL,CUMMINSIND,MOTHERSON,PIDILITIND
2007-10-31,HINDZINC,ABB,JINDALSTEL,CGPOWER,VEDL,DIVISLAB,UNITDSPR,TATAPOWER,PIDILITIND,SOLARINDS
2007-11-30,ABB,JINDALSTEL,SOLARINDS,CGPOWER,VEDL,DIVISLAB,UNITDSPR,TATAPOWER,GAIL,SIEMENS
2007-12-31,ABB,JINDALSTEL,SOLARINDS,DIVISLAB,VEDL,CHOLAFIN,TATAPOWER,UNITDSPR,GAIL,BANKBARODA
2008-01-31,ABB,JINDALSTEL,SOLARINDS,DIVISLAB,TATAPOWER,CHOLAFIN,UNITDSPR,UNIONBANK,CGPOWER,VEDL
2008-02-29,ABB,JINDALSTEL,SOLARINDS,TATAPOWER,DIVISLAB,UNITDSPR,CHOLAFIN,VEDL,UNIONBANK,PFC
2008-03-31,ABB,JINDALSTEL,SOLARINDS,TATAPOWER,DIVISLAB,VEDL,UNITDSPR,CHOLAFIN,GAIL,PFC
2008-04-30,ABB,JINDALSTEL,SOLARINDS,VEDL,TATAPOWER,DIVISLAB,UNITDSPR,CHOLAFIN,UNIONBANK,GAIL
2008-05-31,ABB,JINDALSTEL,SOLARINDS,VEDL,TATAPOWER,DIVISLAB,UNITDSPR,GAIL,CHOLAFIN,PIDILITIND
2008-06-30,JINDALSTEL,SOLARINDS,VEDL,TATAPOWER,DIVISLAB,GAIL,PIDILITIND,MOTHERSON,UNITDSPR,GODREJCP
2008-07-31,JINDALSTEL,SOLARINDS,VEDL,TATAPOWER,GAIL,BPCL,DIVISLAB,IOC,PIDILITIND,UNITDSPR
2008-08-31,JINDALSTEL,SOLARINDS,VEDL,TATAPOWER,GAIL,DIVISLAB,BANKBARODA,UNIONBANK,ZYDUSLIFE,IOC
2008-09-30,SOLARINDS,JINDALSTEL,GAIL,DIVISLAB,TATAPOWER,BPCL,ZYDUSLIFE,VEDL,BANKBARODA,BRITANNIA
